일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,26.5,33.3,21.2,219.8,442.2
2000,21.2,32.3,12.8,281.3,365.57
2000,16.7,26.6,6.5,25.3,359.55
2001,27.2,35.5,16.8,73.6,496.03
2001,22.0,31.3,10.5,126.2,451.89
2001,16.6,25.5,7.6,64.9,340.05
2002,24.9,35.1,17.0,680.3,363.37
2002,21.0,33.4,11.4,68.4,431.4
2002,14.3,26.4,0.8,48.0,369.47
2003,25.0,34.7,18.4,195.4,416.66
2003,22.1,32.7,11.7,292.2,364.73
2003,15.0,26.1,3.6,15.0,423.19
2004,25.8,35.5,17.3,370.3,443.31
2004,21.6,31.2,13.0,141.1,351.9
2004,15.7,26.6,6.0,5.8,395.66
2005,26.3,35.6,18.8,280.2,411.31
2005,22.6,34.3,14.2,49.9,352.74
2005,15.8,29.0,3.7,6.7,307.42
2006,28.2,37.2,19.6,127.6,457.73
2006,20.6,30.7,12.8,75.7,388.31
2006,18.6,27.8,8.4,16.7,400.93
2007,27.6,36.4,18.7,198.0,444.5
2007,22.4,33.0,17.1,364.7,308.39
2007,16.7,26.1,6.6,29.7,391.67
2008,25.8,35.2,17.5,235.3,538.94
2008,23.0,33.1,9.6,21.9,438.72
2008,17.8,28.8,7.3,12.0,404.63
2009,25.5,34.0,19.0,49.5,466.58
2009,22.6,33.3,15.4,41.5,454.29
2009,17.2,27.9,7.0,25.8,428.17
2010,28.7,36.5,22.9,396.0,458.49
2010,23.3,34.7,10.8,160.5,398.36
2010,16.4,27.0,2.2,41.8,386.68
2011,26.2,35.1,18.7,253.6,401.91
2011,23.0,35.5,11.6,38.5,413.59
2011,15.7,27.2,2.5,115.0,368.04
2012,27.9,36.3,20.1,327.1,511.32
2012,21.7,31.0,11.9,241.5,475.4
2012,15.8,26.1,6.4,28.1,461.55
2013,29.0,37.9,21.7,203.0,593.61
2013,23.0,33.0,13.6,96.7,459.22
2013,17.2,28.2,6.0,107.5,411.68
2014,24.7,33.9,17.3,402.8,388.85
2014,22.5,32.3,13.7,110.5,477.56
2014,16.4,26.0,6.7,88.6,423.4
2015,26.0,38.3,18.3,269.5,500.66
2015,20.6,30.0,12.8,70.3,455.78
2015,15.8,26.9,2.8,38.1,436.43
2016,27.6,38.1,16.9,81.2,598.37
2016,21.9,32.2,13.1,306.5,325.16
2016,16.6,27.6,5.7,111.5,304.1
2017,26.4,37.0,15.5,171.3,535.56
2017,21.5,30.4,9.2,97.5,473.31
2017,16.2,29.1,1.7,54.3,339.76
2018,27.7,38.7,18.4,334.2,544.94
2018,21.0,30.4,10.4,109.0,391.07
2018,14.3,25.8,2.8,165.1,417.44
2019,27.4,36.9,17.9,141.9,515.88
2019,22.6,32.5,12.5,185.5,379.27
2019,16.8,28.6,3.9,155.2,386.33
2020,28.6,36.3,22.5,322.7,534.44
2020,21.2,30.8,11.7,161.0,409.03
2020,15.4,27.3,5.3,13.1,442.4
2021,25.7,37.0,19.7,256.3,453.3
2021,22.1,30.9,15.1,84.1,402.76
2021,16.5,31.8,2.0,57.8,425.96
2013,16.2,26.6,4.1,102.2,384.33
2014,23.8,33.3,16.2,409.9,349.61
2014,21.4,31.8,12.5,105.5,435.02
2014,15.4,24.9,5.4,80.1,383.36
