일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일사량(MJ/m2)
2000,26.2,35.1,19.0,599.4,350.5
2000,20.7,31.0,11.9,178.5,317.17
2000,14.9,26.5,3.5,18.1,291.77
2000,7.0,20.3,-3.8,27.1,213.58
2000,0.9,11.9,-11.4,27.0,193.19
2001,26.5,35.3,19.4,252.0,431.66
2001,22.5,31.7,11.0,49.3,405.66
2001,16.5,25.3,8.8,68.2,284.37
2001,7.0,16.0,-3.1,13.0,235.81
2001,-0.6,10.9,-8.8,15.7,236.38
2002,24.2,32.2,17.9,688.0,314.8
2002,21.6,30.6,13.5,61.1,391.8
2002,12.8,24.9,-0.3,45.0,392.09
2002,4.0,16.7,-4.8,12.5,247.98
2002,1.7,15.9,-9.1,15.0,210.18
2003,24.1,32.2,16.6,684.2,391.98
2003,20.9,28.7,13.8,258.2,373.37
2003,13.9,26.0,2.7,41.5,369.04
2003,9.5,21.3,-3.2,69.3,180.5
2003,0.7,12.0,-8.1,6.9,208.57
2004,26.1,36.2,18.7,193.3,469.31
2004,21.7,31.3,12.8,198.7,415.76
2004,15.2,25.6,5.3,6.5,433.26
2004,9.1,21.5,0.2,80.0,233.97
2004,1.9,16.2,-8.3,27.2,225.8
2005,25.1,35.0,16.5,285.0,368.84
2005,21.8,30.8,13.8,313.3,334.1
2005,14.7,24.9,3.0,52.6,356.12
2005,8.6,21.8,-1.1,44.6,261.97
2005,-3.9,11.1,-14.0,10.3,241.05
2006,27.0,34.7,20.8,121.2,483.73
2006,21.1,30.3,11.3,11.1,444.25
2006,17.9,27.5,7.9,30.2,343.49
2006,8.4,20.2,-1.3,47.6,230.89
2006,1.4,12.6,-12.3,17.3,203.9
2007,26.5,33.2,19.8,237.6,360.81
2007,21.5,31.1,14.1,241.9,286.98
2007,15.1,26.2,3.2,39.5,330.32
2007,6.7,19.3,-5.5,26.4,261.71
2007,1.8,13.8,-7.4,12.7,193.98
2008,25.3,35.4,16.3,251.2,493.57
2008,22.0,32.0,10.3,99.2,415.31
2008,16.1,28.3,5.6,41.8,336.82
2008,7.6,18.4,-7.2,19.6,244.52
2008,1.1,13.3,-13.1,25.9,203.88
2009,25.7,34.4,16.4,285.3,465.59
2009,21.8,29.9,14.4,64.5,473.84
2009,16.0,26.4,6.2,66.9,416.3
2009,6.9,21.8,-4.3,52.4,235.39
2009,-1.0,10.1,-12.9,21.5,218.66
2010,26.5,33.8,19.9,598.7,365.07
2010,21.8,31.4,8.4,671.5,373.65
2010,14.5,24.2,0.7,25.6,381.32
2010,6.5,17.4,-5.2,10.9,280.01
2010,-1.3,13.5,-15.1,16.1,221.67
2011,25.8,34.1,18.1,166.8,378.91
2011,21.8,32.4,10.3,25.6,449.39
2011,14.2,23.4,3.1,32.0,364.29
2011,10.7,25.9,-5.5,56.2,189.83
2011,-0.9,9.1,-10.6,7.1,215.83
2012,27.1,36.7,18.7,464.9,362.84
2012,21.0,29.5,12.0,212.0,356.28
2012,15.3,26.0,2.8,99.3,349.6
2012,5.5,15.7,-3.0,67.8,228.59
2012,-4.1,8.3,-14.5,41.4,210.32
2013,27.7,33.9,21.1,148.6,420.57
2013,21.8,31.1,10.9,138.5,368.82
2013,15.8,28.1,4.3,13.5,372.79
2013,6.2,20.7,-6.4,46.8,233.94
2013,-0.2,11.0,-9.8,24.7,202.42
2014,25.2,35.8,18.3,172.8,352.98
2014,22.1,31.3,14.9,88.1,388.56
2014,15.6,29.0,2.7,52.2,362.31
2014,9.0,22.9,-3.1,41.5,250.26
2014,-2.9,7.9,-13.2,17.9,229.68
2015,26.3,34.4,18.9,72.9,436.33
2015,22.4,31.0,14.2,26.0,458.73
2015,15.5,26.6,1.1,81.5,359.17
2015,8.9,21.0,-7.3,104.6,177.93
2015,1.6,12.2,-9.5,29.1,206.35
2016,28.0,36.6,16.1,67.1,468.05
2016,23.1,31.1,14.3,33.0,370.92
2016,16.1,29.0,0.7,74.8,318.14
2016,6.8,18.6,-6.2,16.7,235.03
2016,1.2,13.6,-9.8,61.1,205.35
2017,25.9,35.3,16.1,297.0,411.09
2017,22.1,31.4,11.2,35.0,445.23
2017,16.4,29.4,2.5,26.5,240.97
2017,5.6,18.4,-6.6,40.7,145.34
2017,-1.9,8.7,-12.3,34.8,151.69
2018,28.8,39.6,20.2,202.6,517.16
2018,21.5,30.9,10.8,68.5,470.96
2018,13.1,25.6,0.7,120.5,403.34
2018,7.8,19.4,-3.1,79.1,265.35
2018,-0.6,13.5,-14.4,16.4,253.64
2019,27.2,36.8,18.5,190.5,486.24
2019,22.6,30.5,13.6,139.8,386.78
2019,16.4,28.2,4.7,55.5,395.43
2019,7.6,22.1,-4.6,78.8,284.28
2019,1.4,12.9,-10.9,22.6,223.25
2020,26.5,34.5,21.5,675.7,325.97
2020,21.4,29.5,13.6,181.5,452.05
2020,14.3,23.6,3.2,0.0,428.25
2020,8.0,20.0,-3.6,120.1,281.51
2020,-0.3,11.4,-12.9,4.6,276.39
2021,25.9,33.7,18.1,211.2,428.88
2021,22.6,30.3,16.0,131.0,474.13
2021,15.6,28.8,1.3,57.0,353.62
2021,8.2,21.3,-3.7,62.4,271.64
2021,0.6,13.3,-15.5,7.9,257.25
